date,three_pop,abund
1995-05-01,BL,0.925925925925925
1995-05-01,BR,0.27777777777777757
1995-05-01,TR,0.462962962962963
1995-06-01,BL,0.925925925925925
1995-07-01,BR,0.13888888888888878
1995-07-01,TR,0.925925925925925
1995-08-01,BL,0
1995-08-01,BR,0.9259259259259254
1995-08-01,TR,2.777777777777775
1995-09-01,BR,0.6172839506172834
1995-11-01,BL,0.462962962962963
1995-11-01,BR,0.1851851851851852
1995-11-01,TR,0.462962962962963
1996-03-01,BL,0
1996-03-01,BR,0
1996-03-01,TR,0
1996-05-01,BR,0.4629629629629633
1996-05-01,TR,0.925925925925926
1996-06-01,BL,0
1996-06-01,BR,0.308641975308642
1996-06-01,TR,2.314814814814815
1996-07-01,BR,0.545634920634921
1996-09-01,BR,0.925925925925926
1996-10-01,BL,0.462962962962963
1996-10-01,BR,0.308641975308642
1996-10-01,TR,1.85185185185185
1996-11-01,BL,0.347222222222222
1996-11-01,BR,0.694444444444444
1997-04-01,BR,1.2345679012345667
1997-04-01,TR,0.925925925925926
1997-05-01,BL,0.694444444444444
1997-06-01,BL,0.5787037037037039
1997-06-01,TR,0.462962962962963
1997-07-01,BL,0.5555555555555565
1997-07-01,BR,0.925925925925926
1997-08-01,BL,0.462962962962963
1997-08-01,BR,0.555555555555556
1997-08-01,TR,0.925925925925926
1997-09-01,BL,3.1249999999999973
1997-09-01,BR,2.4691358024691352
1997-10-01,BL,1.2500000000000016
1997-10-01,BR,4.282407407407407
1997-11-01,BR,1.8518518518518505
1997-11-01,TR,0
1998-02-01,BL,0.694444444444444
1998-02-01,BR,1.527777777777778
1998-02-01,TR,0
1998-04-01,BR,0.810185185185185
1998-04-01,TR,0
1998-06-01,BL,2.0833333333333313
1998-06-01,BR,2.870370370370372
1998-06-01,TR,0.9259259259259256
1998-08-01,BL,3.935185185185185
1998-08-01,BR,2.962962962962961
1998-08-01,TR,1.6203703703703705
1998-10-01,BL,4.86111111111111
1998-10-01,BR,3.7037037037037024
1998-10-01,TR,2.314814814814815
1999-02-01,BL,1.8518518518518525
1999-02-01,BR,2.037037037037037
1999-02-01,TR,0.694444444444445
1999-03-01,BR,2.63888888888889
1999-04-01,BL,3.4722222222222223
1999-04-01,TR,0.694444444444445
1999-05-01,BR,2.0370370370370363
1999-06-01,BL,2.083333333333334
1999-06-01,BR,4.62962962962963
1999-06-01,TR,0.925925925925926
1999-08-01,BL,2.546296296296295
1999-08-01,BR,2.407407407407405
1999-08-01,TR,0.4629629629629625
1999-10-01,BL,2.0833333333333317
1999-10-01,BR,0.3703703703703704
1999-10-01,TR,0
1999-11-01,BL,0.462962962962963
1999-11-01,TR,0.2314814814814815
1999-12-01,BR,1.111111111111111
2000-04-01,BL,0.4629629629629625
2000-04-01,BR,1.4351851851851851
2000-04-01,TR,0.6944444444444445
2000-06-01,BL,1.6203703703703705
2000-06-01,BR,5.18518518518518
2000-06-01,TR,1.1574074074074079
2000-08-01,BL,1.2152777777777786
2000-08-01,BR,4.03703703703704
2000-08-01,TR,1.331018518518519
2000-10-01,BL,1.620370370370369
2000-10-01,BR,2.4074074074074066
2000-10-01,TR,3.2407407407407423
2000-11-01,BR,12.96296296296297
2000-12-01,BL,3.7037037037037033
2000-12-01,TR,2.77777777777778
2001-03-01,BL,12.500000000000007
2001-03-01,BR,17.777777777777782
2001-03-01,TR,5.78703703703704
2001-06-01,BL,7.638888888888886
2001-06-01,BR,10.802469135802486
2001-06-01,TR,4.398148148148147
2001-09-01,BL,5.555555555555555
2001-09-01,BR,5.138888888888889
2001-09-01,TR,3.009259259259263
2001-12-01,BL,6.597222222222217
2001-12-01,BR,6.481481481481485
2001-12-01,TR,1.1574074074074079
2002-02-01,BL,2.77777777777778
2002-02-01,TR,0.9259259259259256
2002-04-01,BR,2.4691358024691374
2002-05-01,BL,0.2314814814814815
2002-07-01,BL,0.694444444444444
2002-07-01,BR,0.308641975308642
2002-07-01,TR,0
2002-08-01,BL,0.2314814814814815
2002-08-01,BR,0.6018518518518517
2002-10-01,BL,0.4629629629629625
2002-10-01,BR,0.925925925925926
2002-10-01,TR,0
2002-11-01,BL,0.2314814814814815
2002-11-01,BR,0
2002-11-01,TR,0.2314814814814815
2002-12-01,BR,0.308641975308642
2003-02-01,BL,0
2003-02-01,BR,0.1851851851851852
2003-02-01,TR,0
2003-05-01,BL,0
2003-05-01,BR,0.694444444444445
2003-05-01,TR,0.462962962962963
2003-06-01,BR,0.154320987654321
2003-06-01,TR,0.925925925925926
2003-12-01,BL,0
2003-12-01,BR,0.555555555555556
2003-12-01,TR,0.925925925925926
2004-02-01,BL,0.9259259259259265
2004-02-01,BR,0.9259259259259254
2004-05-01,BL,0
2004-05-01,BR,0.462962962962963
2004-05-01,TR,0
2004-08-01,BL,0.2314814814814815
2004-08-01,BR,0.3858024691358025
2004-08-01,TR,0
2004-11-01,BL,0.6944444444444445
2004-11-01,BR,0.8333333333333336
2004-11-01,TR,0.462962962962963
2005-02-01,BL,0
2005-02-01,BR,0.5092592592592593
2005-02-01,TR,0
2005-04-01,BL,0.462962962962963
2005-04-01,BR,0.308641975308642
2005-05-01,BR,0.925925925925926
2005-05-01,TR,0.462962962962963
2005-08-01,BL,0.2314814814814815
2005-08-01,BR,0.7407407407407407
2005-08-01,TR,0.2314814814814815
2005-10-01,BR,0.5555555555555552
2005-11-01,BL,1.388888888888888
2005-11-01,BR,1.38888888888889
2005-12-01,BL,0.462962962962963
2005-12-01,TR,1.38888888888889
2006-02-01,BL,1.38888888888889
2006-02-01,BR,1.296296296296296
2006-03-01,BR,1.38888888888889
2006-03-01,TR,1.388888888888888
2006-05-01,BL,2.083333333333334
2006-05-01,BR,2.314814814814815
2006-05-01,TR,1.1574074074074066
2006-06-01,BR,1.8148148148148133
2006-08-01,BL,5.55555555555556
2006-08-01,BR,1.5432098765432096
2006-08-01,TR,0.462962962962963
2006-09-01,BL,1.38888888888889
2006-09-01,BR,1.851851851851853
2006-09-01,TR,0.462962962962963
2006-11-01,BL,2.314814814814815
2006-11-01,BR,3.24074074074074
2006-11-01,TR,0.2314814814814815
2007-03-01,BR,6.17283950617284
2007-05-01,BR,4.62962962962963
2007-05-01,TR,6.25
2007-06-01,BL,9.722222222222229
2007-06-01,BR,7.253086419753081
2007-06-01,TR,8.333333333333325
2007-09-01,BL,14.814814814814824
2007-09-01,BR,9.814814814814808
2007-09-01,TR,15.740740740740716
2007-11-01,BR,21.2962962962963
2007-11-01,TR,16.66666666666667
2008-02-01,BR,26.234567901234566
2008-02-01,TR,13.42592592592593
2008-04-01,BR,11.213991769547317
2008-04-01,TR,16.6666666666667
2008-06-01,BL,8.33333333333333
2008-06-01,BR,7.9166666666666625
2008-07-01,TR,5.092592592592595
2008-09-01,BR,3.08641975308642
2008-10-01,BR,4.62962962962963
2008-10-01,TR,1.1574074074074066
2009-04-01,BL,1.8518518518518519
2009-04-01,BR,0.6172839506172844
2009-08-01,BR,0.462962962962963
2009-09-01,BL,1.3888888888888888
2009-09-01,BR,0.7407407407407403
2009-09-01,TR,5.092592592592583
